age,AMI_total_n,AMI_total_mean,AMI_total_SD,GDS_total_n,GDS_total_mean,GDS_total_SD,REY_copy_score_n,REY_copy_score_mean,REY_copy_score_SD,REY_copy_nMove_n,REY_copy_nMove_mean,REY_copy_nMove_SD,REY_recall_score_n,REY_recall_score_mean,REY_recall_score_SD,REY_recall_nMove_n,REY_recall_nMove_mean,REY_recall_nMove_SD,OIS_ImmediateObjectAccuracy_n,OIS_ImmediateObjectAccuracy_mean,OIS_ImmediateObjectAccuracy_SD,OIS_DelayedObjectAccuracy_n,OIS_DelayedObjectAccuracy_mean,OIS_DelayedObjectAccuracy_SD,OIS_ImmediateSemanticAccuracy_n,OIS_ImmediateSemanticAccuracy_mean,OIS_ImmediateSemanticAccuracy_SD,OIS_DelayedSemanticAccuracy_n,OIS_DelayedSemanticAccuracy_mean,OIS_DelayedSemanticAccuracy_SD,OIS_ImmediateLocationError_n,OIS_ImmediateLocationError_mean,OIS_ImmediateLocationError_SD,OIS_DelayedLocationError_n,OIS_DelayedLocationError_mean,OIS_DelayedLocationError_SD,OMT_ProportionCorrect_n,OMT_ProportionCorrect_mean,OMT_ProportionCorrect_SD,OMT_AbsoluteError_n,OMT_AbsoluteError_mean,OMT_AbsoluteError_SD,OMT_TargetDetection_n,OMT_TargetDetection_mean,OMT_TargetDetection_SD,OMT_Misbinding_n,OMT_Misbinding_mean,OMT_Misbinding_SD,OMT_Guessing_n,OMT_Guessing_mean,OMT_Guessing_SD,OMT_Imprecision_n,OMT_Imprecision_mean,OMT_Imprecision_SD,OMT_IdentificationTime_n,OMT_IdentificationTime_mean,OMT_IdentificationTime_SD,OMT_LocalisationTime_n,OMT_LocalisationTime_mean,OMT_LocalisationTime_SD,DSST_nCorrectResponse_n,DSST_nCorrectResponse_mean,DSST_nCorrectResponse_SD,TMT_A_n,TMT_A_mean,TMT_A_SD,TMT_B_n,TMT_B_mean,TMT_B_SD,CORSI_mean_n,CORSI_mean_mean,CORSI_mean_SD
18,2,1,0,2,4.5,0.707106781186548,2,91.9180791811687,0.391836678386422,2,24,4.24264068711928,2,91.8225226461679,1.47660175831951,2,24,11.3137084989848,3,100,NaN,3,90,10,3,100,NaN,3,96.6666666666667,2.88675134594813,3,0.653421409864454,0.320109542533614,3,1.55995669915204,1.05963205623502,1,0.947368421052632,0,1,96.8551532615935,0,1,0.752278195488722,0,1,0.2746,0,1,0.110421804511278,0,1,61.3621450563716,0,1,1.76850955882353,0,1,2.676140625,0,1,57,0,2,15.1958,0.412337534335963,2,23.1089666666667,8.11348462869068,1,8.8504492982621,0
19,7,1.1984126984127,0.325300024316176,7,5.28571428571429,1.60356745147455,14,91.3990250557352,1.15437435875962,14,18.6428571428571,5.15314904257048,15,86.8951512592168,4.49480449392557,13,16.2307692307692,3.29529579233403,15,98,3.16227766016838,14,79.7619047619048,13.2345239866277,16,100,NaN,15,86.3235867446394,13.2549399371381,15,0.796230004594053,0.266531961906218,15,1.8898770266597,1.34048295365099,10,0.92531954887218,0.0704785719354794,10,106.905897624335,33.6410692850024,11,0.738407490316701,0.149234732124596,11,0.250572631578947,0.107188063398776,11,0.136306193893825,0.104856448446034,10,77.6384148616105,24.1548557817109,11,1.82251009229239,0.469267709511812,11,1.9745527445397,0.687754140232629,10,52.3,11.499275339487,15,17.1102511111111,3.06749356589451,15,22.8304733333333,5.31429917769331,6,5.6980630896922,3.22450752650917
20,9,1.17283950617284,0.338438275601796,10,5.9,1.79195734076208,19,91.6743146123312,1.15272285379125,19,19.1052631578947,5.27988569785901,20,86.1336223171491,5.2100425558822,18,17.3888888888889,4.40773236201603,20,97.5,3.03488489333442,19,78.2456140350877,15.490675054536,21,100,NaN,20,85.4926900584795,14.3840763867626,20,0.83339692325862,0.280170489056408,20,2.022954404164,1.45310756766447,13,0.911340852130326,0.0704580644368442,13,108.777573999632,32.1895778206814,14,0.739495402792696,0.13482340212275,13,0.270917732793522,0.082364794231958,14,0.132841664876477,0.0945612100421255,13,78.4503620248352,21.8221430041483,14,1.82420369597141,0.466586856253716,14,1.89506327014585,0.657540884189606,11,54.3636363636364,8.32193159395975,18,17.2855481481481,3.11542385299655,17,22.6125764705882,4.39817230380929,8,5.44263240353647,2.76719000446144
21,15,1.48518518518518,0.543304064305079,15,6.13333333333333,1.92230020944651,30,91.6566261281707,1.27421880081025,30,18.3666666666667,4.04699405973622,31,87.1917290442063,5.01530300691005,31,18.0645161290323,5.32250244321828,31,98.3870967741936,2.37595481655746,31,82.1105182310615,14.8900238890516,33,100,NaN,30,90.5502645502645,11.0143951893899,32,0.837340137341425,0.309419888543744,31,1.87221193329884,1.53929731895516,23,0.929985289310232,0.0525570801840542,24,103.963497705791,35.4170964677336,25,0.786153836090225,0.137376160440161,25,0.211579284210526,0.119405910062273,23,0.0911189500926229,0.0647677103025647,24,74.007210584996,19.3317024523631,24,1.80720336211344,0.487221458701926,24,2.12269961803001,0.850561930623511,21,53.1428571428571,10.2141358630366,28,18.0615761904762,3.92144464285601,28,24.5382023809524,5.54305223476745,12,4.65501718449851,1.81110997115615
22,18,1.40123456790123,0.436429177363143,19,5.78947368421053,1.98826969354487,35,91.6272768966159,1.26538610841478,36,19.0555555555556,4.8576563687467,36,87.2246815223618,4.82802106679949,36,17.9722222222222,5.02841134305067,35,98.4285714285714,2.35504107976803,35,82.4407447189402,14.2776707900242,38,100,NaN,36,88.7918871252205,13.2823519331442,37,0.825089804022857,0.297241351395703,35,1.7745361422747,1.32063590892595,27,0.92134270862341,0.0584335898208732,28,109.501920131133,36.3983377706656,28,0.776064853651987,0.135687844046073,29,0.23245891107078,0.125258588435637,28,0.111928323039742,0.0844298273829412,28,75.8546751548007,18.9429484950992,28,1.77686237429601,0.47794676728823,28,2.10687582505763,0.818758388850138,24,53.1666666666667,10.4243305140746,34,18.6925941176471,5.23254103930825,34,24.9929294117647,6.51371505689923,16,5.04671644140242,2.07665584428838
23,24,1.43981481481481,0.397899971335915,24,5.95833333333333,1.65448446368641,46,91.6975905154605,1.13978098831204,46,19.0217391304348,4.71635042725379,46,87.3838641377331,4.91382645615045,45,17.1111111111111,3.77324445767482,45,98.6666666666667,2.23606797749979,44,83.1915014809752,14.3594205775389,49,100,NaN,47,87.2157343713895,14.6029496835828,48,0.832097642880624,0.318345547580627,46,1.88400495674326,1.43831553652384,35,0.922670963122091,0.0504551644389321,36,112.100452442981,35.2283475450479,37,0.763398900629953,0.133704000717679,36,0.259922192982456,0.107281710113824,37,0.116489307051412,0.0836277050371799,37,77.8464573219199,19.4106266725748,37,1.7455069670613,0.461188602288347,36,2.05398639509563,0.736218000326768,31,52.5161290322581,9.605106168915,42,19.3230626984127,5.11596626750557,42,25.6965761904762,6.30894527542935,21,4.49080233066929,1.18612040642334
24,27,1.44238683127572,0.407806503995715,27,6.14814814814815,1.7030222841422,54,91.8413199385584,1.27004085341332,55,18.4727272727273,4.26811843987898,55,87.4893324886303,5.01979046258313,54,16.8703703703704,3.62406160291834,53,98.5849056603774,2.27388148551319,53,81.2282475055564,16.4992063242507,58,100,NaN,55,87.1195222905749,14.2628089928103,56,0.849945264872361,0.350588163087477,55,1.96306735367537,1.52522388804789,45,0.921662489557226,0.0550031777740497,46,117.344147261494,37.367440574773,45,0.7633481475912,0.126090640014689,46,0.263249839816934,0.105855950429245,45,0.116267402116402,0.0789147946581049,47,81.3712664000745,22.329339453997,46,1.68048894744584,0.453872880281316,46,2.06749978156972,0.73762696982805,40,54.55,11.5712951649706,52,19.4389538461538,4.93665390641554,52,26.2604326923077,6.36523624910729,24,4.54049060722097,1.40629024707093
25,26,1.54059829059829,0.447091476349216,26,6.30769230769231,1.76111852569282,48,91.9255873725572,1.24005462860202,50,18.8,4.03049599419025,50,86.8670174569495,6.15624526244123,49,17.4897959183673,3.72560089660934,47,98.7178051511758,2.21375011550055,48,81.5078712406015,16.8376397500894,51,100,NaN,49,88.0909544268835,13.7294174388307,50,0.84051184372038,0.34107831946583,48,1.81648458752646,1.32658981365092,42,0.918052571905955,0.0513157236101479,43,123.107498977343,39.6531786983477,41,0.757421535851825,0.121213919555677,42,0.273046165413534,0.106328022046447,41,0.118273014854209,0.0701443196062607,43,80.3660116455794,19.0337417945996,42,1.6419564094884,0.41750460254028,42,2.12711136196238,0.734016937182372,35,55.8857142857143,11.3261057857018,44,19.5426833333333,5.5252644903989,44,27.195228030303,6.61416284132567,25,5.22863945658669,1.95361810166097
26,25,1.54222222222222,0.383319913882127,26,6.30769230769231,1.80597299579436,51,91.5891752876052,1.61737539536462,53,18.811320754717,4.06701839271429,52,86.6306297338444,6.36253334394448,50,17.28,3.64238092125332,52,98.3603238866397,3.09299292733341,49,83.2117922356913,14.2547206028142,53,100,NaN,51,89.1462111160254,12.4412643414545,52,0.813279448220205,0.335106552119071,50,1.69155794587381,1.19593587324218,45,0.919345586187692,0.04710611527755,46,121.235170538878,39.3590371639735,44,0.757480871781727,0.119899761439698,45,0.27060298245614,0.104985679622087,44,0.118630013385737,0.0699131974909469,46,79.3407495201659,19.939758059566,44,1.64621915782581,0.414512689792036,45,2.19028320658281,0.75489788494967,39,55,14.2681094531974,47,19.8544092198582,5.44044314676424,47,27.6832404255319,7.0445586389106,26,5.33013542768696,1.91936069135719
27,27,1.47530864197531,0.349104584276546,28,6.07142857142857,1.82429228141828,48,91.8695344536631,1.19231601559016,51,18.6078431372549,4.11377408894824,52,85.9255591126021,7.10500304197202,50,17.54,3.63211300732221,51,98.1320949432405,3.16151323473576,49,79.8697636949517,16.2797184224535,52,100,NaN,50,87.4434210526316,12.8081609535367,51,0.800730507776176,0.308239655646907,48,1.61762463852675,0.987945299085458,43,0.915413533834586,0.0481026520252196,44,125.785887421793,39.0817498700783,42,0.742492256832558,0.110981897089301,44,0.283987523923445,0.0928316202520378,42,0.123929660460675,0.0686436682691618,44,81.8549720323856,20.2165299387123,43,1.60794265466437,0.38025589403195,43,2.04120814905571,0.5803153524437,37,54.5135135135135,13.2949899118712,47,19.6416815602837,5.30372060601854,47,27.7270815602837,7.27814048464592,27,5.60591509573501,2.14170144807693
